n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,3.56,62.0,45.0,0.5,2026-09-10 13:10,2026-09-10 14:45,1.16263,1.1595,30.5,1111.81,24.92,20.27,0.0,1086.89,ATR target,101086.89
2,SELL,1.45,74.2,45.0,0.5,2026-09-10 15:00,2026-09-10 15:55,1.16032,1.16186,-16.1,-223.06,10.15,7.01,0.0,-233.21,ATR stop,100853.69
3,SELL,3.31,66.2,45.0,0.4,2026-09-11 08:05,2026-09-11 08:50,1.16084,1.16107,-3.0,-75.96,23.17,16.38,0.0,-99.13,chop scratch,100754.56
4,SELL,1.42,60.8,47.3,0.6,2026-09-11 10:55,2026-09-11 14:50,1.15983,1.16016,-4.1,-47.57,9.94,8.52,0.0,-57.51,chop scratch,100697.05
5,SELL,0.41,58.8,52.1,0.5,2026-09-14 08:05,2026-09-14 13:25,1.15611,1.15489,11.5,49.87,2.87,2.61,0.0,47.0,time stop,100744.04
6,SELL,3.53,64.9,47.4,0.571,2026-09-14 14:10,2026-09-14 14:50,1.15483,1.15364,11.3,422.16,24.71,19.09,0.0,397.45,trend flip,101141.49
7,SELL,3.39,70.1,46.8,0.333,2026-09-14 15:35,2026-09-14 16:50,1.15334,1.15431,-10.4,-327.34,23.73,17.16,0.0,-351.07,ATR stop,100790.42
8,SELL,3.43,68.1,48.2,0.286,2026-09-15 09:15,2026-09-15 09:45,1.15357,1.15409,-5.9,-177.91,24.01,16.7,0.0,-201.92,chop scratch,100588.5
9,BUY,1.19,66.7,49.5,0.25,2026-09-15 15:45,2026-09-15 17:15,1.1544,1.15423,-2.3,-19.63,8.33,5.95,0.0,-27.96,chop scratch,100560.54
10,BUY,0.57,58.3,50.3,0.625,2026-09-16 10:55,2026-09-16 11:55,1.15403,1.15381,-2.9,-12.34,3.99,2.65,0.0,-16.33,chop scratch,100544.21
