n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
1,SELL,6.95,61.2,45.0,0.5,2026-09-10 12:00,2026-09-10 12:45,1.35238,1.351,13.0,955.34,48.65,38.19,0.0,906.69,trail stop,100906.69
2,SELL,6.19,72.2,45.0,0.5,2026-09-10 12:55,2026-09-10 13:45,1.35073,1.35211,-14.5,-852.66,43.33,30.18,0.0,-895.99,ATR stop,100010.7
3,SELL,3.81,62.3,45.0,0.6,2026-09-10 14:05,2026-09-10 14:55,1.35159,1.35303,-15.1,-547.22,26.67,19.4,0.0,-573.89,ATR stop,99436.81
4,BUY,3.1,55.0,46.8,0.5,2026-09-11 07:10,2026-09-11 08:00,1.35224,1.35117,-11.4,-331.36,21.7,15.57,0.0,-353.06,ATR stop,99083.75
5,SELL,2.07,46.4,51.5,0.5,2026-09-11 10:30,2026-09-11 11:05,1.35035,1.35122,-9.5,-181.34,14.49,9.86,0.0,-195.83,ATR stop,98887.93
6,SELL,2.34,46.5,51.9,0.4,2026-09-14 08:20,2026-09-14 09:40,1.34806,1.34891,-9.2,-198.85,16.38,11.13,0.0,-215.23,ATR stop,98672.69
7,SELL,1.58,42.8,52.3,0.333,2026-09-14 10:55,2026-09-14 11:15,1.34849,1.34931,-8.9,-129.88,11.06,7.9,0.0,-140.94,ATR stop,98531.76
8,SELL,1.37,40.3,52.6,0.286,2026-09-15 08:40,2026-09-15 09:50,1.34744,1.34822,-8.5,-106.55,9.59,6.69,0.0,-116.14,chop scratch,98415.61
9,BUY,1.46,35.7,52.9,0.25,2026-09-15 12:00,2026-09-15 14:00,1.34854,1.34884,2.3,43.76,10.22,7.24,0.0,33.54,trail stop,98449.15
10,BUY,1.55,42.2,52.0,0.333,2026-09-15 14:05,2026-09-15 15:05,1.34954,1.34866,-9.5,-136.99,10.85,7.81,0.0,-147.84,ATR stop,98301.31
